name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2021-09-06,16.3,13.0,14.6,16.3,13.0,14.6,12.1,84.9,0.0,0,0.0,,0.0,0.0,,38.1,84.2,1018.5,87.2,10.0,93.6,8.2,6,,2021-09-06T07:05:06,2021-09-06T18:38:56,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SABE,87593099999,87576099999"
Argentina,2021-09-07,15.9,14.7,15.1,15.9,14.7,15.1,13.7,91.3,14.68,100,12.5,rain,0.0,0.0,46.4,35.8,98.0,1013.3,99.3,7.6,23.8,2.0,1,,2021-09-07T07:03:43,2021-09-07T18:39:38,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-08,15.9,14.1,15.1,15.9,14.1,15.1,14.6,96.3,49.21,100,16.67,rain,0.0,0.0,,34.1,150.4,1005.9,99.4,6.7,28.9,2.6,2,,2021-09-08T07:02:19,2021-09-08T18:40:20,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-09,14.2,12.3,13.6,14.2,12.3,13.6,11.9,89.5,3.85,100,16.67,rain,0.0,0.0,38.9,20.7,226.5,1005.1,97.0,7.2,60.1,5.2,2,,2021-09-09T07:00:56,2021-09-09T18:41:03,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-10,15.1,11.2,13.4,15.1,11.2,13.4,10.4,82.7,0.12,100,8.33,rain,0.0,0.0,37.1,14.6,195.9,1017.0,97.2,8.7,55.4,4.9,2,,2021-09-10T06:59:32,2021-09-10T18:41:45,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-11,17.3,13.7,15.2,17.3,13.7,15.2,11.2,77.5,0.0,0,0.0,,0.0,0.0,35.3,24.8,92.9,1016.4,79.6,10.0,209.0,18.1,9,,2021-09-11T06:58:08,2021-09-11T18:42:27,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-12,23.6,14.7,18.1,23.6,14.7,18.1,13.8,76.3,0.0,0,0.0,,0.0,0.0,38.9,26.2,59.4,1008.7,59.0,10.0,120.8,10.4,7,,2021-09-12T06:56:43,2021-09-12T18:43:09,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,F5850,87593099999,87576099999"
Argentina,2021-09-13,18.0,14.3,16.0,18.0,14.3,16.0,12.3,79.5,0.0,0,0.0,,0.0,0.0,42.5,25.3,140.2,1009.7,66.8,9.9,64.2,5.4,3,,2021-09-13T06:55:18,2021-09-13T18:43:52,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-14,19.1,11.0,14.5,19.1,11.0,14.5,3.0,48.3,0.0,0,0.0,,0.0,0.0,48.2,19.4,206.1,1016.2,39.3,10.0,215.9,18.7,9,,2021-09-14T06:53:53,2021-09-14T18:44:34,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-15,20.4,8.5,14.4,20.4,8.0,14.4,4.0,52.3,0.0,0,0.0,,0.0,0.0,,15.8,286.1,1021.5,0.0,10.0,215.8,18.7,9,,2021-09-15T06:52:28,2021-09-15T18:45:17,0.34,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-16,20.6,11.8,16.6,20.6,11.8,16.6,8.1,57.4,0.0,0,0.0,,0.0,0.0,,18.3,222.0,1024.4,0.1,10.0,225.3,19.5,9,,2021-09-16T06:51:03,2021-09-16T18:45:59,0.39,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
